Tweet_ID	Tweet_Content	Awareness_Label	Related_Label	Self_Label
5926297601	don't worry it's not swine flu, i already got the shot against it like 3 weeks ago.	1.0		1.0
5222838706	muh. if i am getting sick and it's not swine flu i am going to be so pissed.	0.0	1.0	1.0
5233654812	what is up with my boy?  this morning i thought he had the flu, now at 1pm he wants breakfast!  thinking we'll start with some toast for now	0.0		0.0
5918860304	getting better,no more piggy flu 4 me,it was nasty, dont wish it on anyone.ppl wash ur hands and use the hand sanitizer,trust me	0.0	1.0	1.0
4631607800	@robbsterr yay for man txting you.. in other news i am getting checked for the piggie flu oink oink	0.0	0.0	1.0
6004314210	swine flu has arrived at my daughter's kindergarten. 2 cases. & i think i'm getting her eye infection. next few weeks will be fun. =(	0.0	1.0	0.0
5225053106	i think im getting flu soon.	0.0	1.0	1.0
5229704707	h1n1 flu is rampant in nagasaki. holy crap. 70 kids at friend's school got it. i'm legit worried, esp since i got a fever/throat probs...	0.0		0.0
5233811803	rt @adamwsyx6: getting my seasonal flu shot today, first one ever. and going in early for h1n1 clinic story.  expect lines.	1.0		1.0
5900297914	@sihawkings you like christmas then? i'll send positive energy your way :) it seems like i'm finally getting rid of flu and bronchitis, yay!	0.0		0.0
5922861314	it was a robitussin nighttime cold & flu kind of night. i think i may be getting a cold. tell my nose breathing isn't optional. poo...	0.0	1.0	1.0
5912340611	@marisamir chemo day, plus getting fitted for radiation masks now, ugh. i have been pretty sick though lately with flu and fevers too. yuck!	0.0		1.0
5922229214	so yeah.. myheads killin me:/ and i think im getting the flu...hope it isn't the swine flu :x	0.0		1.0
5984946706	the swine flu is the only thing calipari is worried about in cancun - http://tinyurl.com/yereux6 #kentuckywildcats	1.0		0.0
5222406214	is unsure about all this talk of vaccinations... def not getting the flu one	1.0	1.0	0.0
6003319713	getting a little fed up with having (insert random animal) flu. most depressing.	0.0	1.0	1.0
5916662502	my flu is not going away!!!!! its not even getting any better!!! i feel awful :(	0.0	1.0	1.0
5926793900	rt @deejaykingmidas: i dont know  is which one swine flu or bird flu but mi feel fuck up =))))))))))) lol	0.0		1.0
5234564007	trying to decide whether or not to get the h1n1 flu vaccine today....worried it might make me sick, worried i might get sick without it.	1.0	1.0	1.0
5932278302	i think ive just about gotten over this flu, but still taking it easy tonight getting my c-span on	0.0		1.0
5235612004	working through second kiddo with the flu. yea!  we all got our flu shots. should we worry about getting the h1n1 shot?!?!	0.0		0.0
5924620503	oh yay! getting chippy food for dinner. i'm getting a pizza supper. maybe the grease will eat my flu bug ^_^	0.0	1.0	1.0
5985417606	at home. i think i have the stomach flu or something. i woke up, started getting ready for school, and then unfortunately..well you know..	0.0		1.0
5991525204	just getting over swine flu.  it must have been the roast pork i ate the other sunday!	0.0	1.0	1.0
